Question,Option A,Option B,Option C,Option D,Answer,Category
What is 23:48 - 01:31?,23:33,21:09,22:17,20:08,C,Hour Adjustment (24h)
What is 06:33 - 10:41?,19:52,16:50,22:09,20:59,A,Hour Adjustment (24h)
What is 01:28 + 11:21?,10:48,10:43,12:49,11:33,C,Hour Adjustment (24h)
What is 19:47 + 05:28?,3:33,1:15,0:00,2:26,B,Hour Adjustment (24h)
What is 01:12 - 04:20?,20:52,0:09,17:33,17:39,A,Hour Adjustment (24h)
What is 21:08 - 20:15?,0:53,3:08,2:56,3:04,A,Hour Adjustment (24h)
What is 18:07 - 22:51?,15:57,19:16,16:00,16:13,B,Hour Adjustment (24h)
What is 12:16 - 02:04?,8:54,6:54,10:12,11:13,C,Hour Adjustment (24h)
What is 05:55 - 11:02?,15:50,21:12,16:49,18:53,D,Hour Adjustment (24h)
What is 02:46 - 03:43?,1:15,23:03,2:13,1:10,B,Hour Adjustment (24h)
What is 04:29 + 14:18?,22:02,17:27,22:05,18:47,D,Hour Adjustment (24h)
What is 03:03 + 04:36?,5:34,10:48,4:36,7:39,D,Hour Adjustment (24h)
What is 12:09 - 04:42?,9:44,4:15,7:27,4:22,C,Hour Adjustment (24h)
What is 08:29 + 12:36?,22:25,21:05,0:12,23:22,B,Hour Adjustment (24h)
What is 18:43 - 01:19?,18:43,17:24,19:38,19:42,B,Hour Adjustment (24h)
What is 21:44 + 19:09?,17:54,16:53,17:58,19:58,B,Hour Adjustment (24h)
What is 14:40 - 11:16?,4:32,1:11,3:24,1:18,C,Hour Adjustment (24h)
What is 04:48 - 04:09?,3:45,0:39,22:19,21:23,B,Hour Adjustment (24h)
What is 04:06 - 06:16?,22:56,21:50,18:32,0:57,B,Hour Adjustment (24h)
What is 00:57 + 08:57?,13:14,8:42,9:54,7:34,C,Hour Adjustment (24h)
What is 19:26 + 00:20?,17:38,20:49,21:56,19:46,D,Hour Adjustment (24h)
What is 01:56 - 15:34?,9:11,10:22,9:04,12:30,B,Hour Adjustment (24h)
What is 07:23 + 20:38?,4:01,7:11,5:21,5:13,A,Hour Adjustment (24h)
What is 05:28 + 16:36?,19:46,19:01,22:04,20:00,C,Hour Adjustment (24h)
What is 20:21 + 02:50?,23:11,2:20,0:17,22:03,A,Hour Adjustment (24h)
What is 10:58 - 10:37?,0:21,21:16,1:33,3:40,A,Hour Adjustment (24h)
What is 05:44 + 03:51?,8:25,12:48,8:29,9:35,D,Hour Adjustment (24h)
What is 17:06 + 20:49?,13:55,15:02,11:37,12:54,A,Hour Adjustment (24h)
What is 00:22 + 00:18?,0:40,1:45,22:39,3:41,A,Hour Adjustment (24h)
What is 15:17 + 01:30?,16:47,19:48,15:45,15:34,A,Hour Adjustment (24h)
What is 03:42 + 23:11?,1:45,23:36,5:13,2:53,D,Hour Adjustment (24h)
What is 01:04 + 16:16?,20:40,19:36,17:20,18:23,C,Hour Adjustment (24h)
What is 19:41 + 14:43?,11:38,10:24,13:26,13:30,B,Hour Adjustment (24h)
What is 14:10 - 10:37?,1:18,3:33,4:44,4:38,B,Hour Adjustment (24h)
