Question,Answer,Category
What is 23:48 - 01:31?,22:17,Hour Adjustment (24h)
What is 06:33 - 10:41?,19:52,Hour Adjustment (24h)
What is 01:28 + 11:21?,12:49,Hour Adjustment (24h)
What is 19:47 + 05:28?,1:15,Hour Adjustment (24h)
What is 01:12 - 04:20?,20:52,Hour Adjustment (24h)
What is 21:08 - 20:15?,0:53,Hour Adjustment (24h)
What is 18:07 - 22:51?,19:16,Hour Adjustment (24h)
What is 12:16 - 02:04?,10:12,Hour Adjustment (24h)
What is 05:55 - 11:02?,18:53,Hour Adjustment (24h)
What is 02:46 - 03:43?,23:03,Hour Adjustment (24h)
What is 04:29 + 14:18?,18:47,Hour Adjustment (24h)
What is 03:03 + 04:36?,7:39,Hour Adjustment (24h)
What is 12:09 - 04:42?,7:27,Hour Adjustment (24h)
What is 08:29 + 12:36?,21:05,Hour Adjustment (24h)
What is 18:43 - 01:19?,17:24,Hour Adjustment (24h)
What is 21:44 + 19:09?,16:53,Hour Adjustment (24h)
What is 14:40 - 11:16?,3:24,Hour Adjustment (24h)
What is 04:48 - 04:09?,0:39,Hour Adjustment (24h)
What is 04:06 - 06:16?,21:50,Hour Adjustment (24h)
What is 00:57 + 08:57?,9:54,Hour Adjustment (24h)
What is 19:26 + 00:20?,19:46,Hour Adjustment (24h)
What is 01:56 - 15:34?,10:22,Hour Adjustment (24h)
What is 07:23 + 20:38?,4:01,Hour Adjustment (24h)
What is 05:28 + 16:36?,22:04,Hour Adjustment (24h)
What is 20:21 + 02:50?,23:11,Hour Adjustment (24h)
What is 10:58 - 10:37?,0:21,Hour Adjustment (24h)
What is 05:44 + 03:51?,9:35,Hour Adjustment (24h)
What is 17:06 + 20:49?,13:55,Hour Adjustment (24h)
What is 00:22 + 00:18?,0:40,Hour Adjustment (24h)
What is 15:17 + 01:30?,16:47,Hour Adjustment (24h)
What is 03:42 + 23:11?,2:53,Hour Adjustment (24h)
What is 01:04 + 16:16?,17:20,Hour Adjustment (24h)
What is 19:41 + 14:43?,10:24,Hour Adjustment (24h)
What is 14:10 - 10:37?,3:33,Hour Adjustment (24h)
What is 18:36 - 17:14?,1:22,Hour Adjustment (24h)
What is 21:30 - 06:47?,14:43,Hour Adjustment (24h)
What is 05:22 + 17:18?,22:40,Hour Adjustment (24h)
What is 02:55 + 06:28?,9:23,Hour Adjustment (24h)
What is 12:16 + 02:27?,14:43,Hour Adjustment (24h)
What is 18:11 + 22:21?,16:32,Hour Adjustment (24h)
What is 15:35 - 01:42?,13:53,Hour Adjustment (24h)
What is 23:03 - 12:08?,10:55,Hour Adjustment (24h)
What is 07:02 - 09:59?,21:03,Hour Adjustment (24h)
What is 22:11 - 22:52?,23:19,Hour Adjustment (24h)
What is 07:04 - 22:58?,8:06,Hour Adjustment (24h)
What is 08:09 + 16:45?,0:54,Hour Adjustment (24h)
What is 00:53 - 14:04?,10:49,Hour Adjustment (24h)
What is 21:58 + 19:45?,17:43,Hour Adjustment (24h)
What is 00:13 - 13:18?,10:55,Hour Adjustment (24h)
What is 06:12 + 01:51?,8:03,Hour Adjustment (24h)
What is 22:07 + 08:40?,6:47,Hour Adjustment (24h)
What is 21:29 + 06:30?,3:59,Hour Adjustment (24h)
What is 05:13 - 10:36?,18:37,Hour Adjustment (24h)
What is 20:24 + 23:11?,19:35,Hour Adjustment (24h)
What is 13:45 - 17:18?,20:27,Hour Adjustment (24h)
What is 06:51 - 16:37?,14:14,Hour Adjustment (24h)
What is 12:48 + 22:37?,11:25,Hour Adjustment (24h)
What is 01:25 + 19:45?,21:10,Hour Adjustment (24h)
What is 08:06 - 13:32?,18:34,Hour Adjustment (24h)
What is 13:26 + 13:40?,3:06,Hour Adjustment (24h)
What is 15:46 - 02:58?,12:48,Hour Adjustment (24h)
What is 10:01 - 14:31?,19:30,Hour Adjustment (24h)
What is 14:48 - 09:55?,4:53,Hour Adjustment (24h)
What is 20:17 + 13:23?,9:40,Hour Adjustment (24h)
What is 13:35 + 16:06?,5:41,Hour Adjustment (24h)
What is 22:08 - 17:36?,4:32,Hour Adjustment (24h)
What is 15:02 - 03:10?,11:52,Hour Adjustment (24h)
What is 23:25 - 08:46?,14:39,Hour Adjustment (24h)
What is 14:19 + 22:27?,12:46,Hour Adjustment (24h)
What is 05:41 - 18:53?,10:48,Hour Adjustment (24h)
What is 10:24 + 01:51?,12:15,Hour Adjustment (24h)
What is 21:23 + 09:17?,6:40,Hour Adjustment (24h)
What is 19:34 + 21:09?,16:43,Hour Adjustment (24h)
What is 10:48 + 05:30?,16:18,Hour Adjustment (24h)
What is 15:31 - 15:36?,23:55,Hour Adjustment (24h)
What is 10:56 - 17:11?,17:45,Hour Adjustment (24h)
What is 09:18 + 12:28?,21:46,Hour Adjustment (24h)
What is 18:25 - 19:36?,22:49,Hour Adjustment (24h)
What is 20:13 - 23:18?,20:55,Hour Adjustment (24h)
What is 20:58 + 01:30?,22:28,Hour Adjustment (24h)
What is 08:24 - 07:01?,1:23,Hour Adjustment (24h)
What is 21:05 + 10:34?,7:39,Hour Adjustment (24h)
What is 17:51 + 21:40?,15:31,Hour Adjustment (24h)
What is 16:10 - 18:17?,21:53,Hour Adjustment (24h)
What is 09:44 - 16:49?,16:55,Hour Adjustment (24h)
What is 18:20 + 10:38?,4:58,Hour Adjustment (24h)
What is 02:40 - 03:32?,23:08,Hour Adjustment (24h)
What is 03:36 - 06:29?,21:07,Hour Adjustment (24h)
What is 02:12 + 17:32?,19:44,Hour Adjustment (24h)
What is 01:56 - 15:15?,10:41,Hour Adjustment (24h)
What is 23:50 + 11:33?,11:23,Hour Adjustment (24h)
What is 01:15 + 01:52?,3:07,Hour Adjustment (24h)
What is 21:14 + 00:56?,22:10,Hour Adjustment (24h)
What is 07:40 - 16:35?,15:05,Hour Adjustment (24h)
What is 00:34 + 14:09?,14:43,Hour Adjustment (24h)
What is 10:21 + 07:10?,17:31,Hour Adjustment (24h)
What is 13:01 - 18:13?,18:48,Hour Adjustment (24h)
What is 18:43 + 22:07?,16:50,Hour Adjustment (24h)
What is 18:18 - 16:19?,1:59,Hour Adjustment (24h)
What is 08:18 - 01:38?,6:40,Hour Adjustment (24h)
What is 01:18 + 04:55?,6:13,Hour Adjustment (24h)
What is 10:10 + 06:21?,16:31,Hour Adjustment (24h)
What is 12:26 + 15:47?,4:13,Hour Adjustment (24h)
What is 15:47 - 19:14?,20:33,Hour Adjustment (24h)
What is 14:57 + 11:18?,2:15,Hour Adjustment (24h)
What is 18:25 + 19:06?,13:31,Hour Adjustment (24h)
